調整日期,項目,單位,數量
20081001,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,
20081001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,
20081001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,
20081001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,
20081001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,
20081001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,
20081001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,
20081001,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,137.5
20081001,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,137.5
20081001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,223.6
20081001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,166.9
20081001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,217.3
20081001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,160.6
20120610,電燈用電_包燈(100瓦以下),元／每燈每月,111.79
20120610,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,3.76
20120610,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,3.02
20120610,電燈用電_表燈_營業用(331~700度)_夏月,元／每度,4.62
20120610,電燈用電_表燈_營業用(331~700度)_非夏月,元／每度,3.68
20120610,電燈用電_表燈_營業用(701~1500度)_夏月,元／每度,5.48
20120610,電燈用電_表燈_營業用(701~1500度)_非夏月,元／每度,4.31
20120610,電燈用電_表燈_營業用(1501度以上)_夏月,元／每度,5.92
20120610,電燈用電_表燈_營業用(1501度以上)_非夏月,元／每度,4.64
20120610,電燈用電_表燈_非營業用(120度以下)_夏月,元／每度,2.1
20120610,電燈用電_表燈_非營業用(120度以下)_非夏月,元／每度,2.1
20120610,電燈用電_表燈_非營業用(121~330度)_夏月,元／每度,3.02
20120610,電燈用電_表燈_非營業用(121~330度)_非夏月,元／每度,2.68
20120610,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,4.39
20120610,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,3.61
20120610,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,4.97
20120610,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,4.01
20120610,電燈用電_表燈_非營業用_701度以上(701~1000度)_夏月,元／每度,5.63
20120610,電燈用電_表燈_非營業用_701度以上(701~1000度)_非夏月,元／每度,4.5
20120610,電燈用電_表燈_非營業用_701度以上(1001度以上)_夏月,元／每度,
20120610,電燈用電_表燈_非營業用_701度以上(1001度以上)_非夏月,元／每度,
20120610,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,
20120610,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,
20120610,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,
20120610,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,
20120610,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,
20120610,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,
20120610,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,
20120610,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,
20120610,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,137.5
20120610,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,137.5
20120610,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,223.6
20120610,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,166.9
20120610,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,217.3
20120610,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,160.6
20131001,電燈用電_包燈(100瓦以下),元／每燈每月,121.28
20131001,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,3.76
20131001,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,3.02
20131001,電燈用電_表燈_營業用(331~700度)_夏月,元／每度,4.62
20131001,電燈用電_表燈_營業用(331~700度)_非夏月,元／每度,3.68
20131001,電燈用電_表燈_營業用(701~1500度)_夏月,元／每度,5.48
20131001,電燈用電_表燈_營業用(701~1500度)_非夏月,元／每度,4.31
20131001,電燈用電_表燈_營業用(1501度以上)_夏月,元／每度,6.73
20131001,電燈用電_表燈_營業用(1501度以上)_非夏月,元／每度,5.31
20131001,電燈用電_表燈_非營業用(120度以下)_夏月,元／每度,2.1
20131001,電燈用電_表燈_非營業用(120度以下)_非夏月,元／每度,2.1
20131001,電燈用電_表燈_非營業用(121~330度)_夏月,元／每度,3.02
20131001,電燈用電_表燈_非營業用(121~330度)_非夏月,元／每度,2.68
20131001,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,4.39
20131001,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,3.61
20131001,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,5.44
20131001,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,4.48
20131001,電燈用電_表燈_非營業用_701度以上(701~1000度)_夏月,元／每度,6.16
20131001,電燈用電_表燈_非營業用_701度以上(701~1000度)_非夏月,元／每度,5.03
20131001,電燈用電_表燈_非營業用_701度以上(1001度以上)_夏月,元／每度,6.71
20131001,電燈用電_表燈_非營業用_701度以上(1001度以上)_非夏月,元／每度,5.28
20131001,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,
20131001,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,
20131001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,
20131001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,
20131001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,
20131001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,
20131001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,
20131001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,
20131001,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,137.5
20131001,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,137.5
20131001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,223.6
20131001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,166.9
20131001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,217.3
20131001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,160.6
20150401,電燈用電_包燈(100瓦以下),元／每燈每月,101.89
20150401,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,2.91
20150401,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,2.45
20150401,電燈用電_表燈_營業用(331~700度)_夏月,元／每度,4.04
20150401,電燈用電_表燈_營業用(331~700度)_非夏月,元／每度,3.32
20150401,電燈用電_表燈_營業用(701~1500度)_夏月,元／每度,4.81
20150401,電燈用電_表燈_營業用(701~1500度)_非夏月,元／每度,3.91
20150401,電燈用電_表燈_營業用(1501度以上)_夏月,元／每度,6.73
20150401,電燈用電_表燈_營業用(1501度以上)_非夏月,元／每度,5.31
20150401,電燈用電_表燈_非營業用(120度以下)_夏月,元／每度,1.89
20150401,電燈用電_表燈_非營業用(120度以下)_非夏月,元／每度,1.89
20150401,電燈用電_表燈_非營業用(121~330度)_夏月,元／每度,2.73
20150401,電燈用電_表燈_非營業用(121~330度)_非夏月,元／每度,2.42
20150401,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,4
20150401,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,3.3
20150401,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,5.15
20150401,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,4.24
20150401,電燈用電_表燈_非營業用_701度以上(701~1000度)_夏月,元／每度,5.99
20150401,電燈用電_表燈_非營業用_701度以上(701~1000度)_非夏月,元／每度,4.9
20150401,電燈用電_表燈_非營業用_701度以上(1001度以上)_夏月,元／每度,6.71
20150401,電燈用電_表燈_非營業用_701度以上(1001度以上)_非夏月,元／每度,5.28
20150401,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,
20150401,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,
20150401,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,
20150401,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,
20150401,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,
20150401,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,
20150401,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,
20150401,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,
20150401,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,137.5
20150401,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,137.5
20150401,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,223.6
20150401,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,166.9
20150401,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,217.3
20150401,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,160.6
20151001,電燈用電_包燈(100瓦以下),元／每燈每月,99.52
20151001,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,2.81
20151001,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,2.35
20151001,電燈用電_表燈_營業用(331~700度)_夏月,元／每度,3.94
20151001,電燈用電_表燈_營業用(331~700度)_非夏月,元／每度,3.22
20151001,電燈用電_表燈_營業用(701~1500度)_夏月,元／每度,4.71
20151001,電燈用電_表燈_營業用(701~1500度)_非夏月,元／每度,3.81
20151001,電燈用電_表燈_營業用(1501度以上)_夏月,元／每度,6.73
20151001,電燈用電_表燈_營業用(1501度以上)_非夏月,元／每度,5.31
20151001,電燈用電_表燈_非營業用(120度以下)_夏月,元／每度,1.81
20151001,電燈用電_表燈_非營業用(120度以下)_非夏月,元／每度,1.81
20151001,電燈用電_表燈_非營業用(121~330度)_夏月,元／每度,2.64
20151001,電燈用電_表燈_非營業用(121~330度)_非夏月,元／每度,2.33
20151001,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,3.9
20151001,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,3.2
20151001,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,5.09
20151001,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,4.18
20151001,電燈用電_表燈_非營業用_701度以上(701~1000度)_夏月,元／每度,5.94
20151001,電燈用電_表燈_非營業用_701度以上(701~1000度)_非夏月,元／每度,4.85
20151001,電燈用電_表燈_非營業用_701度以上(1001度以上)_夏月,元／每度,6.71
20151001,電燈用電_表燈_非營業用_701度以上(1001度以上)_非夏月,元／每度,5.28
20151001,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,
20151001,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,
20151001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,
20151001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,
20151001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,
20151001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,
20151001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,
20151001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,
20151001,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,137.5
20151001,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,137.5
20151001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,223.6
20151001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,166.9
20151001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,217.3
20151001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,160.6
20160401,電燈用電_包燈(100瓦以下),元／每燈每月,99.01
20160401,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,2.53
20160401,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,2.12
20160401,電燈用電_表燈_營業用(331~700度)_夏月,元／每度,3.55
20160401,電燈用電_表燈_營業用(331~700度)_非夏月,元／每度,2.91
20160401,電燈用電_表燈_營業用(701~1500度)_夏月,元／每度,4.25
20160401,電燈用電_表燈_營業用(701~1500度)_非夏月,元／每度,3.44
20160401,電燈用電_表燈_營業用(1501度以上)_夏月,元／每度,6.15
20160401,電燈用電_表燈_營業用(1501度以上)_非夏月,元／每度,4.85
20160401,電燈用電_表燈_非營業用(120度以下)_夏月,元／每度,1.63
20160401,電燈用電_表燈_非營業用(120度以下)_非夏月,元／每度,1.63
20160401,電燈用電_表燈_非營業用(121~330度)_夏月,元／每度,2.38
20160401,電燈用電_表燈_非營業用(121~330度)_非夏月,元／每度,2.1
20160401,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,3.52
20160401,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,2.89
20160401,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,4.61
20160401,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,3.79
20160401,電燈用電_表燈_非營業用_701度以上(701~1000度)_夏月,元／每度,5.42
20160401,電燈用電_表燈_非營業用_701度以上(701~1000度)_非夏月,元／每度,4.42
20160401,電燈用電_表燈_非營業用_701度以上(1001度以上)_夏月,元／每度,6.13
20160401,電燈用電_表燈_非營業用_701度以上(1001度以上)_非夏月,元／每度,4.83
20160401,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,
20160401,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,
20160401,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,
20160401,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,
20160401,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,
20160401,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,
20160401,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,
20160401,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,
20160401,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,137.5
20160401,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,137.5
20160401,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,223.6
20160401,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,166.9
20160401,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,217.3
20160401,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,160.6
20161001,電燈用電_包燈(100瓦以下),元／每燈每月,90.01
20161001,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,2.53
20161001,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,2.12
20161001,電燈用電_表燈_營業用(331~700度)_夏月,元／每度,3.55
20161001,電燈用電_表燈_營業用(331~700度)_非夏月,元／每度,2.91
20161001,電燈用電_表燈_營業用(701~1500度)_夏月,元／每度,4.25
20161001,電燈用電_表燈_營業用(701~1500度)_非夏月,元／每度,3.44
20161001,電燈用電_表燈_營業用(1501度以上)_夏月,元／每度,6.15
20161001,電燈用電_表燈_營業用(1501度以上)_非夏月,元／每度,4.85
20161001,電燈用電_表燈_非營業用(120度以下)_夏月,元／每度,1.63
20161001,電燈用電_表燈_非營業用(120度以下)_非夏月,元／每度,1.63
20161001,電燈用電_表燈_非營業用(121~330度)_夏月,元／每度,2.38
20161001,電燈用電_表燈_非營業用(121~330度)_非夏月,元／每度,2.1
20161001,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,3.52
20161001,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,2.89
20161001,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,4.61
20161001,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,3.79
20161001,電燈用電_表燈_非營業用_701度以上(701~1000度)_夏月,元／每度,5.42
20161001,電燈用電_表燈_非營業用_701度以上(701~1000度)_非夏月,元／每度,4.42
20161001,電燈用電_表燈_非營業用_701度以上(1001度以上)_夏月,元／每度,6.13
20161001,電燈用電_表燈_非營業用_701度以上(1001度以上)_非夏月,元／每度,4.83
20161001,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,
20161001,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,
20161001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,
20161001,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,
20161001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,
20161001,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,
20161001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,
20161001,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,
20161001,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,137.5
20161001,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,137.5
20161001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,223.6
20161001,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,166.9
20161001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,217.3
20161001,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,160.6
20180401,電燈用電_包燈(100瓦以下),元／每燈每月,92.74
20180401,電燈用電_表燈_營業用(330度以下)_夏月,元／每度,2.53
20180401,電燈用電_表燈_營業用(330度以下)_非夏月,元／每度,2.12
20180401,電燈用電_表燈_營業用(331~700度)_夏月,元／每度,3.55
20180401,電燈用電_表燈_營業用(331~700度)_非夏月,元／每度,2.91
20180401,電燈用電_表燈_營業用(701~1500度)_夏月,元／每度,4.25
20180401,電燈用電_表燈_營業用(701~1500度)_非夏月,元／每度,3.44
20180401,電燈用電_表燈_營業用(1501度以上)_夏月,元／每度,6.43
20180401,電燈用電_表燈_營業用(1501度以上)_非夏月,元／每度,5.05
20180401,電燈用電_表燈_非營業用(120度以下)_夏月,元／每度,1.63
20180401,電燈用電_表燈_非營業用(120度以下)_非夏月,元／每度,1.63
20180401,電燈用電_表燈_非營業用(121~330度)_夏月,元／每度,2.38
20180401,電燈用電_表燈_非營業用(121~330度)_非夏月,元／每度,2.1
20180401,電燈用電_表燈_非營業用(331~500度)_夏月,元／每度,3.52
20180401,電燈用電_表燈_非營業用(331~500度)_非夏月,元／每度,2.89
20180401,電燈用電_表燈_非營業用(501~700度)_夏月,元／每度,4.8
20180401,電燈用電_表燈_非營業用(501~700度)_非夏月,元／每度,3.94
20180401,電燈用電_表燈_非營業用_701度以上(701~1000度)_夏月,元／每度,5.66
20180401,電燈用電_表燈_非營業用_701度以上(701~1000度)_非夏月,元／每度,4.6
20180401,電燈用電_表燈_非營業用_701度以上(1001度以上)_夏月,元／每度,6.41
20180401,電燈用電_表燈_非營業用_701度以上(1001度以上)_非夏月,元／每度,5.03
20180401,綜合用電_低壓基本電費(按裝置容量計)_營業用_夏月,元／每瓩每月,
20180401,綜合用電_低壓基本電費(按裝置容量計)_營業用_非夏月,元／每瓩每月,
20180401,綜合用電_低壓基本電費(按裝置容量計)_非營業用_夏月,元／每瓩每月,
20180401,綜合用電_低壓基本電費(按裝置容量計)_非營業用_非夏月,元／每瓩每月,
20180401,綜合用電_高壓基本電費(按需量契約容量計)_營業用_夏月,元／每瓩每月,
20180401,綜合用電_高壓基本電費(按需量契約容量計)_營業用_非夏月,元／每瓩每月,
20180401,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_夏月,元／每瓩每月,
20180401,綜合用電_高壓基本電費(按需量契約容量計)_非營業用_非夏月,元／每瓩每月,
20180401,電力用電_低壓供電基本電費(按裝置容量計)_夏月,元／每瓩每月,137.5
20180401,電力用電_低壓供電基本電費(按裝置容量計)_非夏月,元／每瓩每月,137.5
20180401,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,223.6
20180401,電力用電_高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,166.9
20180401,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_夏月,元／每瓩每月,217.3
20180401,電力用電_特高壓供電經常電價基本電費(按需量契約容量計)_非夏月,元／每瓩每月,160.6
